brooks-2019-better-lesson	https://rodneybrooks.com/a-better-lesson/	html
campbell-2002-deep-blue	https://pdfs.semanticscholar.org/3e4b/c1aa55c752918ae99b1a125f6adef61afad2.pdf	pdf
mccarthy-1997-ai-as-sport	http://jmc.stanford.edu/articles/drosophila.html	html
wikipedia-deep-blue	https://en.wikipedia.org/api/rest_v1/page/html/Deep_Blue_(chess_computer)	html
wikipedia-alphago	https://en.wikipedia.org/api/rest_v1/page/html/AlphaGo	html
wikipedia-speech-recognition	https://en.wikipedia.org/api/rest_v1/page/html/Speech_recognition	html
wikipedia-moores-law	https://en.wikipedia.org/api/rest_v1/page/html/Moore%27s_law	html
wikipedia-sift	https://en.wikipedia.org/api/rest_v1/page/html/Scale-invariant_feature_transform	html
wikipedia-alphafold	https://en.wikipedia.org/api/rest_v1/page/html/AlphaFold	html
wikipedia-stockfish	https://en.wikipedia.org/api/rest_v1/page/html/Stockfish_(chess)	html
wikiquote-jelinek	https://en.wikiquote.org/api/rest_v1/page/html/Fred_Jelinek	html
silver-2016-alphago-nature	https://www.nature.com/articles/nature16961	html
silver-2017-alphago-zero	https://discovery.ucl.ac.uk/id/eprint/10045895/1/agz_unformatted_nature.pdf	pdf
silver-2017-alphazero-arxiv	https://arxiv.org/abs/1712.01815	html
hooker-2020-hardware-lottery	https://arxiv.org/abs/2009.06489	html
thompson-2020-computational-limits	https://arxiv.org/abs/2007.05558	html
marcus-2018-critical-appraisal	https://arxiv.org/abs/1801.00631	html
bronstein-2021-geometric-deep-learning	https://arxiv.org/abs/2104.13478	html
dosovitskiy-2020-vit	https://arxiv.org/abs/2010.11929	html
he-2015-resnet	https://arxiv.org/abs/1512.03385	html
lowe-2004-sift	https://www.cs.ubc.ca/~lowe/papers/ijcv04.pdf	pdf
jumper-2021-alphafold	https://www.nature.com/articles/s41586-021-03819-2	html
epoch-2023-gpu-price-performance	https://epoch.ai/blog/trends-in-gpu-price-performance	html
stockfish-nnue-docs	https://official-stockfish.github.io/docs/nnue-pytorch-wiki/docs/nnue.html	html
erman-1980-hearsay-ii	https://websites.nku.edu/~foxr/CSC425/hearsay2.pdf	pdf
hinton-2012-dnn-speech	https://www.cs.toronto.edu/~hinton/absps/DNN-2012-proof.pdf	pdf
krizhevsky-2012-alexnet	https://proceedings.neurips.cc/paper_files/paper/2012/file/c399862d3b9d6b76c8436e924a68c45b-Paper.pdf	pdf
imc-2024-methods-review	https://arxiv.org/abs/2407.03172	html
